nome,endereco,lat,lon,imagem,detalhes_url,mapa_url
Regis Bar,"Avenida Vinte e Oito de Setembro, 872 | Belo Horizonte - MG",-19.9080658,-43.907883,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044821/regisbar_trioparadadura_bh_2025_isaquerodrigues_unibh-8785-scaled.jpg,https://comidadibuteco.com.br/buteco/regis-bar/,"https://www.google.com/maps/search/?api=1&query=Avenida Vinte e Oito de Setembro, 872 | Belo Horizonte - MG"
Rei do Peixe,"Rua Ramalho Ortigão, 735 | Santa Branca, Belo Horizonte - MG",-19.8323398,-43.9664358,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/10074117/oreidopeixe_bolinhobodasdeprata_bh_2025_rodneycosta_unibh-9259-scaled.jpg,https://comidadibuteco.com.br/buteco/rei-do-peixe/,"https://www.google.com/maps/search/?api=1&query=Rua Ramalho Ortigão, 735 | Santa Branca, Belo Horizonte - MG"
Resenha da Naty,"Rua Gonçalves Ledo, 288 | Cachoeirinha, Belo Horizonte - MG",-19.8923813,-43.9460805,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044659/resenhadanaty_trembaumdemasso_bh_2025_isaquerodrigues_unibh-8123-scaled.jpg,https://comidadibuteco.com.br/buteco/resenha-da-naty/,"https://www.google.com/maps/search/?api=1&query=Rua Gonçalves Ledo, 288 | Cachoeirinha, Belo Horizonte - MG"
Restaurante Jorge Americano,"Avenida Augusto de Lima, 744 | Centro, Belo Horizonte - MG",-19.9226073,-43.9429337,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044742/jorgeamericano_rabadadojorge__bh_2025_isaquerodrigues_unih-7967-scaled.jpg,https://comidadibuteco.com.br/buteco/restaurante-jorge-americano/,"https://www.google.com/maps/search/?api=1&query=Avenida Augusto de Lima, 744 | Centro, Belo Horizonte - MG"
S.O.S PUB,"Rua Padre José Maurício, 1126 | Vista Alegre, Belo Horizonte - MG",-19.9557438,-43.9980114,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044605/sospub_socorrodomineiro_bh_2025_amandacantanhede_unibh-8010-scaled.jpg,https://comidadibuteco.com.br/buteco/s-o-s-pub/,"https://www.google.com/maps/search/?api=1&query=Rua Padre José Maurício, 1126 | Vista Alegre, Belo Horizonte - MG"
Santa Boemia,"Rua Mármore, 534 | Santa Tereza, Belo Horizonte - MG",-19.9166073,-43.9175112,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171327/santaboemia_sextoubb_bh_2025_rodneycosta_unibh-7592-scaled.jpg,https://comidadibuteco.com.br/buteco/santa-boemia/,"https://www.google.com/maps/search/?api=1&query=Rua Mármore, 534 | Santa Tereza, Belo Horizonte - MG"
Santuário Retrô,"Avenida Padre Vieira, 150 | Minas Brasil, Belo Horizonte - MG",-19.9159187,-43.9897715,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044516/santuarioretro_presentimretro_bh_2025_rodneycosta_unibh-8779-scaled.jpg,https://comidadibuteco.com.br/buteco/santuario-retro/,"https://www.google.com/maps/search/?api=1&query=Avenida Padre Vieira, 150 | Minas Brasil, Belo Horizonte - MG"
Seu Braz,"Avenida Portugal, 4325 | Itapoã, Belo Horizonte - MG",-19.8428665,-43.9612782,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044541/seubraz_contrafileflambadonacachaca_bh_2025_isaquerodrigues_unibh-7921-scaled.jpg,https://comidadibuteco.com.br/buteco/seu-braz/,"https://www.google.com/maps/search/?api=1&query=Avenida Portugal, 4325 | Itapoã, Belo Horizonte - MG"
Silvio’s Bar,"Rua Begônia, 199 | Esplanada, Belo Horizonte - MG",-19.9024022,-43.9054789,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171521/silviosbar_frangonia_bh_2025_rodneycosta_unibh-7982-scaled.jpg,https://comidadibuteco.com.br/buteco/silvios-bar/,"https://www.google.com/maps/search/?api=1&query=Rua Begônia, 199 | Esplanada, Belo Horizonte - MG"
Sinhá Erozitha Bistrôteco,"Rua Santo Amaro, 257 | Sagrada Família, Belo Horizonte - MG",-19.9020411,-43.9170161,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171610/sinhaerozitha_elasquera_bh_2025_isaquerodrigues_unibh-8251-scaled.jpg,https://comidadibuteco.com.br/buteco/sinha-erozitha-bistroteco/,"https://www.google.com/maps/search/?api=1&query=Rua Santo Amaro, 257 | Sagrada Família, Belo Horizonte - MG"
Sô Bar,"Avenida Altamiro Avelino Soares, 426 | Castelo, Belo Horizonte - MG",-19.882894,-43.9982379,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044420/sobar_somio_bh_2025_rodneycosta_unibh-8449-scaled.jpg,https://comidadibuteco.com.br/buteco/so-bar/,"https://www.google.com/maps/search/?api=1&query=Avenida Altamiro Avelino Soares, 426 | Castelo, Belo Horizonte - MG"
Spetim,"Rua Ilacir Pereira Lima, 518 | Silveira, Belo Horizonte - MG",-19.8899061,-43.92983479999999,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19171715/spetim_tanabocadopovo_bh_2025_rodneycosta_unibh-7565-scaled.jpg,https://comidadibuteco.com.br/buteco/spetim/,"https://www.google.com/maps/search/?api=1&query=Rua Ilacir Pereira Lima, 518 | Silveira, Belo Horizonte - MG"
Tanganica Art Bar,"Rua Padre Demerval Gomes, 380 | Coração Eucarístico, Belo Horizonte - MG",-19.9253528,-43.9916198,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044450/tanganica_veganocolorido_bh_2025_isaquerodrigues_unibh-7903-scaled.jpg,https://comidadibuteco.com.br/buteco/tanganica-art-bar/,"https://www.google.com/maps/search/?api=1&query=Rua Padre Demerval Gomes, 380 | Coração Eucarístico, Belo Horizonte - MG"
